<details> <summary> <b>openwrt telephony new commit log :new: </b>  </summary>

SHA|Author|Date|Message
bb67b9f|Sebastian Kemper|Mon Jan 9 12:15:24 2023 +0100|rtpengine: update libwebsockets dependency
022701e|Sebastian Kemper|Mon Jan 9 12:04:46 2023 +0100|rtpengine: update libwebsockets dependency
3cf295a|micmac1|Fri Dec 30 20:11:21 2022 +0100|Merge pull request #795 from micmac1/sof-1.13.11
2aeae69|Sebastian Kemper|Thu Dec 29 13:16:12 2022 +0100|sofia-sip: bump to 1.13.11
49abbb9|Jiri Slachta|Wed Dec 7 21:50:23 2022 +0100|Merge pull request #792 from micmac1/ast-18.5.1-22.03
b71770d|Sebastian Kemper|Fri Dec 2 21:40:22 2022 +0100|asterisk: bump to 18.15.1
22958d6|Sebastian Kemper|Fri Dec 2 18:10:38 2022 +0100|pjproject: backport security fixes from 2.13
2a34d11|Jiri Slachta|Fri Dec 2 20:12:15 2022 +0100|Merge pull request #791 from micmac1/ast-20.0.1
994eb6e|Sebastian Kemper|Sat Aug 20 11:28:34 2022 +0200|asterisk: bump to 18.14.0
3c85043|Sebastian Kemper|Sat Aug 20 11:06:39 2022 +0200|pjproject: bump to 2.12.1
64df3ed|Sebastian Kemper|Fri Dec 2 18:15:23 2022 +0100|asterisk: bump to 20.0.1
472f1ac|Sebastian Kemper|Fri Dec 2 18:10:38 2022 +0100|pjproject: backport security fixes from 2.13
ed951ea|micmac1|Sat Nov 19 08:40:33 2022 +0100|Merge pull request #790 from micmac1/init-return
e024681|Sebastian Kemper|Tue Nov 8 22:19:17 2022 +0100|rtpproxy: use return in init script
2be80b0|Sebastian Kemper|Tue Nov 8 22:01:01 2022 +0100|kamailio: use return in init script
9604a20|Sebastian Kemper|Tue Nov 8 21:19:19 2022 +0100|freeswitch: use return in init script
ebfad75|Sebastian Kemper|Tue Nov 8 21:12:48 2022 +0100|coturn: use return in init script
b69ae7b|Sebastian Kemper|Tue Nov 8 21:10:52 2022 +0100|baresip: use return in init script
69aebd4|Sebastian Kemper|Tue Nov 8 21:08:16 2022 +0100|asterisk: use return in init script
87a78e0|micmac1|Tue Nov 8 19:00:31 2022 +0100|Merge pull request #789 from micmac1/fs-libshout-deprecated
145d0b3|Sebastian Kemper|Mon Nov 7 22:07:50 2022 +0100|freeswitch: workaround mod-shout compile failure
1d3ed80|Guilherme Janczak|Thu Nov 3 21:13:39 2022 +0000|pcapsipdump: fix linking against libobsd
0403af5|Jiri Slachta|Thu Oct 20 06:04:57 2022 +0200|Merge pull request #785 from micmac1/ast20
5ddb85f|Sebastian Kemper|Wed Oct 19 23:18:12 2022 +0200|asterisk: bump to 20.0.0 LTS
33e6dea|micmac1|Wed Oct 19 20:26:03 2022 +0200|Merge pull request #784 from micmac1/kam562
7163789|Sebastian Kemper|Sun Oct 16 17:23:09 2022 +0200|kamailio: bump to 5.6.2
4575521|Sebastian Kemper|Sun Oct 16 17:14:03 2022 +0200|kamailio: fix dep for keepalive module
07cbb38|Sebastian Kemper|Sun Oct 16 17:09:21 2022 +0200|kamailio: add descriptions via BuildKamailioModule
fa14037|micmac1|Sat Oct 15 18:57:06 2022 +0200|Merge pull request #783 from micmac1/fs-1.10.8
66cddc0|Sebastian Kemper|Sat Oct 15 16:49:19 2022 +0200|freeswitch: bump to 1.10.8
b1fa575|Sebastian Kemper|Sat Oct 15 16:42:14 2022 +0200|libks: bump to 1.8.0
176665c|micmac1|Sat Oct 15 11:00:27 2022 +0200|Merge pull request #781 from micmac1/rtpengine-mqtt
2a13d2e|Sebastian Kemper|Sat Oct 15 09:56:09 2022 +0200|rtpengine: add mqtt dep
a16f7ce|Jiri Slachta|Sat Oct 15 08:35:13 2022 +0200|Merge pull request #780 from micmac1/rtpengine-10.5.2.6
4324324|Sebastian Kemper|Sat Oct 15 00:51:28 2022 +0200|rtpengine: bump to 10.5.2.6
2d70a4c|micmac1|Fri Sep 30 11:01:42 2022 +0200|Merge pull request #777 from micmac1/sof-1.13.9
a48a0ca|micmac1|Fri Sep 30 11:00:50 2022 +0200|Merge pull request #778 from micmac1/sngrep-1.6.0
839c181|Sebastian Kemper|Sun Sep 25 11:50:38 2022 +0200|sngrep: bump to 1.6.0
b563e61|Sebastian Kemper|Sun Sep 25 11:04:22 2022 +0200|sofia-sip: bump to 1.13.9
649bd22|Jiri Slachta|Sun Aug 21 12:23:20 2022 +0200|Merge pull request #776 from micmac1/ast-18.4
aa3bc35|Sebastian Kemper|Sat Aug 20 11:28:34 2022 +0200|asterisk: bump to 18.14.0
a572285|Sebastian Kemper|Sat Aug 20 11:06:39 2022 +0200|pjproject: bump to 2.12.1
f129efb|Jiri Slachta|Sat Jul 16 23:39:02 2022 +0200|Merge pull request #775 from micmac1/chan-dongle-iconv-update
4e30b64|Sebastian Kemper|Sat Jul 16 20:24:48 2022 +0200|asterisk-chan-dongle: adapt BUILD_NLS handling
f50096a|micmac1|Wed Jun 15 00:35:40 2022 +0200|Merge pull request #773 from micmac1/fs-gcc-12
62929c2|Sebastian Kemper|Sun Jun 12 10:05:30 2022 +0200|freeswitch: workaround compile fail with gcc 12
ce64b9c|micmac1|Wed Jun 8 23:33:13 2022 +0200|Merge pull request #772 from PolynomialDivision/fix-compile
2d9385f|Nick Hainke|Wed Jun 8 00:28:52 2022 +0200|rtpengine: fix compilation with iptables 1.8.8
1fc2c77|Jiri Slachta|Tue May 31 21:45:53 2022 +0200|Merge pull request #768 from micmac1/github-sync-with-packages
1d2031a|micmac1|Tue May 31 21:33:10 2022 +0200|Merge pull request #769 from micmac1/22.03-sof-1.13.8
ff8addf|Sebastian Kemper|Mon May 30 18:45:58 2022 +0200|CI: sync up with changes in packages repo
598ac09|Sebastian Kemper|Mon May 30 18:24:58 2022 +0200|sofia-sip: bump to 1.13.8
8edd28e|micmac1|Mon May 30 18:56:20 2022 +0200|Merge pull request #767 from micmac1/sof-1.13.8
1efc4f3|Sebastian Kemper|Mon May 30 18:24:58 2022 +0200|sofia-sip: bump to 1.13.8
056e93c|micmac1|Tue May 3 23:18:08 2022 +0200|Merge pull request #764 from micmac1/libsrtp-openssl
9b9ef7f|Sebastian Kemper|Sat Apr 30 17:57:54 2022 +0200|libsrtp: use OpenSSL
4c14854|micmac1|Sun Apr 17 12:47:54 2022 +0200|Merge pull request #760 from micmac1/22.03-ast-disable-libxslt
cf06463|micmac1|Sun Apr 17 12:47:11 2022 +0200|Merge pull request #759 from micmac1/ast-disable-libxslt
5188599|Sebastian Kemper|Sun Apr 17 10:57:20 2022 +0200|asterisk: add --without-libxslt to configure
64a1d2f|Sebastian Kemper|Sun Apr 17 10:57:20 2022 +0200|asterisk: add --without-libxslt to configure
9d05db7|Jiri Slachta|Sat Apr 16 19:21:15 2022 +0200|Merge pull request #758 from micmac1/22.03-AST-2022-01-02-03-try2
1518d14|Jiri Slachta|Sat Apr 16 19:20:54 2022 +0200|Merge pull request #756 from micmac1/ast-18.11.2
814294e|Sebastian Kemper|Fri Apr 15 17:17:07 2022 +0200|asterisk: add logger patch
244e205|Sebastian Kemper|Fri Apr 15 17:15:38 2022 +0200|asterisk: replace time64 patch
dcc8a89|Sebastian Kemper|Fri Apr 15 16:25:50 2022 +0200|asterisk: bump to version 18.11.2
7117f79|Sebastian Kemper|Fri Apr 15 16:21:22 2022 +0200|pjproject: sync patches with asterisk 18.11.2
692d360|Philip Prindeville|Sun Feb 6 11:42:04 2022 -0700|asterisk: don't send stdout to syslog by default
23925c2|Sebastian Kemper|Fri Apr 15 17:17:07 2022 +0200|asterisk: add logger patch
c1cb4fd|Sebastian Kemper|Fri Apr 15 17:15:38 2022 +0200|asterisk: replace time64 patch
958401f|Sebastian Kemper|Fri Apr 15 16:25:50 2022 +0200|asterisk: bump to version 18.11.2
0c67ab5|Sebastian Kemper|Fri Apr 15 16:21:22 2022 +0200|pjproject: sync patches with asterisk 18.11.2
24acd46|Jiri Slachta|Thu Mar 24 08:30:51 2022 +0100|Merge pull request #739 from pprindeville/issue#738
fb0c2cf|Philip Prindeville|Sun Feb 6 11:42:04 2022 -0700|asterisk: don't send stdout to syslog by default
</details>
